configuration,start_date,end_date,days,r2
five_frozen,1500,1519,20,0.019728007844433626
five_frozen,1520,1539,20,0.017257530914327135
five_frozen,1540,1559,20,0.012556545713048428
five_frozen,1560,1579,20,0.017852932861570525
five_frozen,1580,1599,20,0.02468233866740921
five_frozen,1600,1619,20,0.014575230045525966
five_frozen,1620,1639,20,0.007662243582031603
five_frozen,1640,1659,20,0.006884591503085402
five_frozen,1660,1679,20,0.0064725788182479205
five_frozen,1680,1698,19,0.010148885104220962
five_online,1500,1519,20,0.025916799407292412
five_online,1520,1539,20,0.023923203658194003
five_online,1540,1559,20,0.013668220871001835
five_online,1560,1579,20,0.02025285884915795
five_online,1580,1599,20,0.02999521165400465
five_online,1600,1619,20,0.02052128950516352
five_online,1620,1639,20,0.013768228348718714
five_online,1640,1659,20,0.013535395068247746
five_online,1660,1679,20,0.015008486614060623
five_online,1680,1698,19,0.015625455947880118
nine_frozen,1500,1519,20,0.018895687016741713
nine_frozen,1520,1539,20,0.019892207927202255
nine_frozen,1540,1559,20,0.014418760770858352
nine_frozen,1560,1579,20,0.018355861112752003
nine_frozen,1580,1599,20,0.027124555036770914
nine_frozen,1600,1619,20,0.015150002466316481
nine_frozen,1620,1639,20,0.006961097034526409
nine_frozen,1640,1659,20,0.005342649340069228
nine_frozen,1660,1679,20,0.003296627743665459
nine_frozen,1680,1698,19,0.008025503512698262
nine_online,1500,1519,20,0.02682128830203001
nine_online,1520,1539,20,0.025848175279431285
nine_online,1540,1559,20,0.015681238859213464
nine_online,1560,1579,20,0.021732273289707615
nine_online,1580,1599,20,0.03148856479496909
nine_online,1600,1619,20,0.02179328405927483
nine_online,1620,1639,20,0.015283920222553204
nine_online,1640,1659,20,0.014942980947617923
nine_online,1660,1679,20,0.01548628682493014
nine_online,1680,1698,19,0.016370802240593174
