date_id,window_start,without_online,with_online,day_offset
1399,1380,0.028297607619343634,0.024702711678456946,19
1400,1381,0.028060660882282984,0.024295989309401578,20
1401,1382,0.025623353049127884,0.021682600518833528,21
1402,1383,0.02754876971856035,0.024161284359649482,22
1403,1384,0.027721646293799806,0.024207397095185157,23
1404,1385,0.027260010314731464,0.02371215957496453,24
1405,1386,0.028454421371900462,0.025083219349115837,25
1406,1387,0.028473957285918283,0.02490583290104731,26
1407,1388,0.02553473552595309,0.020494827650287206,27
1408,1389,0.02489370738760588,0.020197171758910115,28
1409,1390,0.024615123612233947,0.01949315744579594,29
1410,1391,0.02503365139525593,0.019174692339390287,30
1411,1392,0.024030902912170693,0.01699841213642106,31
1412,1393,0.01975850870889162,0.011154340108806338,32
1413,1394,0.018552038934787407,0.01007627031129854,33
1414,1395,0.018844997353217985,0.010955843344274019,34
1415,1396,0.017595302368883403,0.01368049346397604,35
1416,1397,0.01781159159962109,0.013938635203906702,36
1417,1398,0.017838701479207186,0.014335344210228751,37
1418,1399,0.01887595425604216,0.015044839215299977,38
1419,1400,0.019250771704140468,0.015699462775999984,39
1420,1401,0.019403169981627277,0.01582305339370449,40
1421,1402,0.020106027091062795,0.016171112904571294,41
1422,1403,0.015609309993172227,0.011485077855728387,42
1423,1404,0.014103706932884985,0.011292736284364002,43
1424,1405,0.014464812927000303,0.010996534778726641,44
1425,1406,0.013358810965248935,0.010764745883679039,45
1426,1407,0.013238464668982708,0.010719379794019379,46
1427,1408,0.014429798176695985,0.010530682263142577,47
1428,1409,0.014585140498233784,0.010368648994980578,48
1429,1410,0.014208600798865212,0.011136069039998864,49
1430,1411,0.013414907443015434,0.011160135254947967,50
1431,1412,0.013253719830157329,0.010668046382874552,51
1432,1413,0.01237962784230806,0.010852716682612784,52
1433,1414,0.016063689660523406,0.012815989989811039,53
1434,1415,0.01547618892273206,0.0127359971262766,54
1435,1416,0.017558977346469717,0.018670580120740632,55
1436,1417,0.01730840382191079,0.017967730996733655,56
1437,1418,0.01896013390163287,0.01901479590239452,57
1438,1419,0.01746457669281809,0.018344242993349136,58
1439,1420,0.018683459923368617,0.019166333332634955,59
1440,1421,0.01917263365283972,0.01938096953595181,60
1441,1422,0.019626029472185613,0.01937735993934775,61
1442,1423,0.02047003117970969,0.020176878892685157,62
1443,1424,0.020690318827445653,0.02002889715712808,63
1444,1425,0.021659816615131278,0.020469374443860322,64
1445,1426,0.023337169882305164,0.021626185441047885,65
1446,1427,0.024330059286208905,0.022561163501562786,66
1447,1428,0.02425312588927353,0.022108549222066176,67
1448,1429,0.026555922914883956,0.024983754790275925,68
1449,1430,0.027502715605328687,0.025419538002026232,69
1450,1431,0.02772638032413388,0.02534794055760592,70
1451,1432,0.02773168130460446,0.025644058650290957,71
1452,1433,0.029046486062015986,0.026265028310356153,72
1453,1434,0.026719592102168455,0.025903761799403124,73
1454,1435,0.027053149755879358,0.02631292804506069,74
1455,1436,0.02536907293209767,0.02176301641764411,75
1456,1437,0.02536684262640798,0.02223916099338641,76
1457,1438,0.02470997382925122,0.021541373089206783,77
1458,1439,0.025101126489888936,0.02159712648396861,78
1459,1440,0.02336048089670406,0.01983822318138273,79
1460,1441,0.022803644848963578,0.019647311762265418,80
1461,1442,0.02204769478850621,0.019397938915993174,81
1462,1443,0.022490754462883067,0.02009166398629114,82
1463,1444,0.023164838108028163,0.020615589756424302,83
1464,1445,0.021989676932034574,0.02012032932901664,84
1465,1446,0.02004567199660312,0.01867962628996056,85
1466,1447,0.018915773225849808,0.017763043724692396,86
1467,1448,0.018949122347025393,0.018794678192228353,87
1468,1449,0.016435309362318185,0.015610798942436888,88
1469,1450,0.017967059652872375,0.017930937195687835,89
1470,1451,0.01946215463412615,0.01871007084608045,90
1471,1452,0.02147660316803801,0.02153006121959955,91
1472,1453,0.021082818656294466,0.021034429213729555,92
1473,1454,0.0211503336090485,0.02036623833237461,93
1474,1455,0.021819096035867958,0.020676047141168663,94
1475,1456,0.022033726716314983,0.020760922944028204,95
1476,1457,0.022488759040743433,0.02109717142601042,96
1477,1458,0.0214705975665338,0.020499897260462197,97
1478,1459,0.020763072946195282,0.019924858549446145,98
1479,1460,0.02160849160271261,0.021022891645612662,99
1480,1461,0.023347703625869798,0.0233552332646364,100
1481,1462,0.024744189801643723,0.023748923276535883,101
1482,1463,0.024564982902025467,0.02391921797734209,102
1483,1464,0.0243578192035232,0.023650164843520338,103
1484,1465,0.025096163722620357,0.024574053886108893,104
1485,1466,0.0291261198572057,0.027339436123844485,105
1486,1467,0.029897968802346298,0.027542827056978192,106
1487,1468,0.04351373271446057,0.04647567667664432,107
1488,1469,0.04905202541194775,0.05653129976414428,108
1489,1470,0.04956478694926836,0.05362784997428505,109
1490,1471,0.04955159583060598,0.054126892224684586,110
1491,1472,0.04828461900900194,0.0517583956597234,111
1492,1473,0.04931316156512622,0.052556740187416184,112
1493,1474,0.050637087422492955,0.053855908100339356,113
1494,1475,0.05087563678859319,0.05478697621546447,114
1495,1476,0.052292295213484885,0.055777740989713,115
1496,1477,0.05256979149978369,0.05604031997258585,116
1497,1478,0.052991426710346845,0.05657911453814979,117
1498,1479,0.05774455097665043,0.06146246725072968,118
1499,1480,0.05872240732992495,0.06221337394103921,119
1500,1481,0.057010197431271226,0.05996305069369634,120
1501,1482,0.05570118327220852,0.06020656481816067,121
1502,1483,0.05570167526078018,0.059587178020064635,122
1503,1484,0.05578319127514231,0.06244192306570817,123
1504,1485,0.05591126328064788,0.062355653686276824,124
1505,1486,0.0532728822123294,0.06119076619318953,125
1506,1487,0.053520614200043726,0.06219380918751083,126
1507,1488,0.036126359334664015,0.03656113500229741,127
1508,1489,0.026017012024961206,0.01880554317891936,128
1509,1490,0.024437225967768428,0.02312960239452111,129
1510,1491,0.022814082456484086,0.02191229827696839,130
1511,1492,0.02369489100436517,0.023168787769728194,131
1512,1493,0.022583777867439703,0.02293655151394014,132
1513,1494,0.021943229160292455,0.022594835213201825,133
1514,1495,0.02194674116825568,0.022429856080385613,134
1515,1496,0.02144355712950119,0.022884969264235,135
1516,1497,0.02076515917602295,0.02290999239559155,136
1517,1498,0.019805379851082883,0.02244153542521654,137
1518,1499,0.019758036919179767,0.022767793824821414,138
1519,1500,0.019728007844433404,0.02304268737060955,139
1520,1501,0.01902300652013733,0.021316183271373523,140
1521,1502,0.018921946784591137,0.02097490127270163,141
1522,1503,0.018825884686157757,0.02054597961054261,142
1523,1504,0.018321415751179515,0.01627275274828699,143
1524,1505,0.017692490668463345,0.01565681160561183,144
1525,1506,0.016695012868141568,0.015023242766314948,145
1526,1507,0.017160073895687522,0.01562891057673943,146
1527,1508,0.01566408868518787,0.01551802215450282,147
1528,1509,0.016113021165266916,0.01551969755939131,148
1529,1510,0.016894382426196675,0.016090429578813903,149
1530,1511,0.018494451160053216,0.01768185334476058,150
1531,1512,0.018472745504329424,0.01902996559386516,151
1532,1513,0.018754094225016837,0.01874681463454042,152
1533,1514,0.018955478719382857,0.019194873592409345,153
1534,1515,0.0186689743527243,0.01973932626338948,154
1535,1516,0.018639965787242807,0.019604790571927877,155
1536,1517,0.01842340963411493,0.018611329156163814,156
1537,1518,0.021020926663264827,0.018627429858614653,157
1538,1519,0.019825017442411608,0.019145813021982372,158
1539,1520,0.017257530914326802,0.015316430884279142,159
1540,1521,0.017934989635146725,0.017356192503510837,160
1541,1522,0.019192851789398224,0.01734962210518909,161
1542,1523,0.0188738943295087,0.016145205769272142,162
1543,1524,0.01781478536164882,0.015281781152841512,163
1544,1525,0.0181398821563048,0.015447982658425174,164
1545,1526,0.017698665884137932,0.015121646097871366,165
1546,1527,0.017034817477358688,0.014579822517034047,166
1547,1528,0.016514018140842412,0.012963194528495925,167
1548,1529,0.016127535298831264,0.0121627275258136,168
1549,1530,0.015480579764964641,0.011627636867019286,169
1550,1531,0.015134802491155286,0.011389027549989827,170
1551,1532,0.014998751428003665,0.01022458299034501,171
1552,1533,0.016848779224488575,0.012281932257277028,172
1553,1534,0.016843807231069263,0.011893186922976584,173
1554,1535,0.016740156247073035,0.010376589366313249,174
1555,1536,0.01678645530322309,0.009293923228034351,175
1556,1537,0.017347145625252525,0.010820369523225293,176
1557,1538,0.015440795856156875,0.010703958296728211,177
1558,1539,0.017441879453051423,0.011452187545971548,178
1559,1540,0.012556545713048428,0.007312312488468531,179
1560,1541,0.012860293573759174,0.006812121314791808,180
1561,1542,0.012443856594993252,0.00691455548026676,181
1562,1543,0.012457836767186925,0.007270360552799504,182
1563,1544,0.012467819291196336,0.007353480918520061,183
1564,1545,0.01205511980047591,0.007373745703858736,184
1565,1546,0.012557890864925092,0.00796822422467236,185
1566,1547,0.013124458072684364,0.00792991321824954,186
