date_id,window_start,r2,epoch,mode
1079,1060,0.02215954858783664,3,offline
1080,1061,0.023941271509893225,3,offline
1081,1062,0.018971251276072243,3,offline
1082,1063,0.019644824299785202,3,offline
1083,1064,0.01936392779658258,3,offline
1084,1065,0.020101217106609393,3,offline
1085,1066,0.020920539800432292,3,offline
1086,1067,0.021119366625660496,3,offline
1087,1068,0.020812253541102055,3,offline
1088,1069,0.020923411909876566,3,offline
1089,1070,0.02075316023338203,3,offline
1090,1071,0.021115140551110967,3,offline
1091,1072,0.022250122282546303,3,offline
1092,1073,0.02192058824131038,3,offline
1093,1074,0.021434537011258192,3,offline
1094,1075,0.02101140401397472,3,offline
1095,1076,0.021092294406410472,3,offline
1096,1077,0.021367650901560564,3,offline
1097,1078,0.02209169217345519,3,offline
1098,1079,0.02262168645782392,3,offline
1099,1080,0.02263882818302987,3,offline
1100,1081,0.02122253399894314,3,offline
1101,1082,0.020821025719237607,3,offline
1102,1083,0.019369648027489084,3,offline
1103,1084,0.020484108677910506,3,offline
1104,1085,0.022418116881573358,3,offline
1105,1086,0.022582402997414652,3,offline
1106,1087,0.022128089899364323,3,offline
1107,1088,0.02193891312710139,3,offline
1108,1089,0.02103155108027266,3,offline
1109,1090,0.02071504597939411,3,offline
1110,1091,0.020735595851604893,3,offline
1111,1092,0.02018499120748174,3,offline
1112,1093,0.020549952245482173,3,offline
1113,1094,0.021307746206776668,3,offline
1114,1095,0.020496709522705214,3,offline
1115,1096,0.01987891626832039,3,offline
1116,1097,0.01995124169819551,3,offline
1117,1098,0.019144771758381696,3,offline
1118,1099,0.018729337881685848,3,offline
1119,1100,0.01849627004346055,3,offline
1120,1101,0.017868258275063775,3,offline
1121,1102,0.01812690294630659,3,offline
1122,1103,0.01915425936748938,3,offline
1123,1104,0.01875394383230533,3,offline
1124,1105,0.01699805968877577,3,offline
1125,1106,0.01654335239494953,3,offline
1126,1107,0.01628530881609913,3,offline
1127,1108,0.01631888569075468,3,offline
1128,1109,0.016420072392519858,3,offline
1129,1110,0.016794419182670883,3,offline
1130,1111,0.015815539577862303,3,offline
1131,1112,0.016329327177153186,3,offline
1132,1113,0.01591473912224517,3,offline
1133,1114,0.014982132233756995,3,offline
1134,1115,0.016143452432509253,3,offline
1135,1116,0.016643982447716477,3,offline
1136,1117,0.015895675873769943,3,offline
1137,1118,0.015543360010940366,3,offline
1138,1119,0.015899854557902215,3,offline
1139,1120,0.016900743893039305,3,offline
1140,1121,0.017285768943840818,3,offline
1141,1122,0.017143891977054126,3,offline
1142,1123,0.017174097657033705,3,offline
1143,1124,0.0164773259323161,3,offline
1144,1125,0.0163343474042007,3,offline
1145,1126,0.01615963880653759,3,offline
