date_id,window_start,r2,mode
1462,1443,0.022490754462883067,frozen
1463,1444,0.023164838108028163,frozen
1464,1445,0.021989676932034574,frozen
1465,1446,0.02004567199660312,frozen
1466,1447,0.018915773225849808,frozen
1467,1448,0.018949122347025393,frozen
1468,1449,0.016435309362318185,frozen
1469,1450,0.017967059652872375,frozen
1470,1451,0.01946215463412615,frozen
1471,1452,0.02147660316803801,frozen
1472,1453,0.021082818656294466,frozen
1473,1454,0.0211503336090485,frozen
1474,1455,0.021819096035867958,frozen
1475,1456,0.022033726716314983,frozen
1476,1457,0.022488759040743433,frozen
1477,1458,0.0214705975665338,frozen
1478,1459,0.020763072946195282,frozen
1479,1460,0.02160849160271261,frozen
1480,1461,0.023347703625869798,frozen
1481,1462,0.024744189801643723,frozen
1482,1463,0.024564982902025467,frozen
1483,1464,0.0243578192035232,frozen
1484,1465,0.025096163722620357,frozen
1485,1466,0.0291261198572057,frozen
1486,1467,0.029897968802346298,frozen
1487,1468,0.04351373271446057,frozen
1488,1469,0.04905202541194775,frozen
1489,1470,0.04956478694926836,frozen
1490,1471,0.04955159583060598,frozen
1491,1472,0.04828461900900194,frozen
1492,1473,0.04931316156512622,frozen
1493,1474,0.050637087422492955,frozen
1494,1475,0.05087563678859319,frozen
1495,1476,0.052292295213484885,frozen
1496,1477,0.05256979149978369,frozen
1497,1478,0.052991426710346845,frozen
1498,1479,0.05774455097665043,frozen
1499,1480,0.05872240732992495,frozen
1500,1481,0.057010197431271226,frozen
1501,1482,0.05570118327220852,frozen
1502,1483,0.05570167526078018,frozen
1503,1484,0.05578319127514231,frozen
1504,1485,0.05591126328064788,frozen
1505,1486,0.0532728822123294,frozen
1506,1487,0.053520614200043726,frozen
1507,1488,0.036126359334664015,frozen
1508,1489,0.026017012024961206,frozen
1509,1490,0.024437225967768428,frozen
1510,1491,0.022814082456484086,frozen
1511,1492,0.02369489100436517,frozen
1512,1493,0.022583777867439703,frozen
1513,1494,0.021943229160292455,frozen
1514,1495,0.02194674116825568,frozen
1515,1496,0.02144355712950119,frozen
1516,1497,0.02076515917602295,frozen
1517,1498,0.019805379851082883,frozen
1518,1499,0.019758036919179767,frozen
1519,1500,0.019728007844433404,frozen
1520,1501,0.01902300652013733,frozen
1521,1502,0.018921946784591137,frozen
1522,1503,0.018825884686157757,frozen
1523,1504,0.018321415751179515,frozen
1524,1505,0.017692490668463345,frozen
1525,1506,0.016695012868141568,frozen
1526,1507,0.017160073895687522,frozen
1527,1508,0.01566408868518787,frozen
1528,1509,0.016113021165266916,frozen
1529,1510,0.016894382426196675,frozen
